Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
,,,,,,,,,,,,,,,,,,,
,World,"8,783,555","+32,565","463,035","+1,215","4,643,187","3,677,333","54,783","1,127",59.4,,,,All,,,,,
,North America,"2,659,407","+6,586","152,556",+697,"1,187,407","1,319,444","19,337",,,,,,North America,,,,,
1,USA,"2,297,360",+170,"121,407",,"956,077","1,219,876","16,533","6,942",367,"27,339,576","82,611","330,944,050",North America,,,,,
,Europe,"2,292,675","+9,579","187,143",+209,"1,246,531","859,001","6,343",,,,,,Europe,,,,,
,Asia,"1,831,309","+14,992","46,651",+288,"1,149,100","635,558","16,218",,,,,,Asia,,,,,
,South America,"1,701,177",+977,"68,830",+18,"915,745","716,602","12,380",,,,,,South America,,,,,
2,Brazil,"1,038,568",,"49,090",,"520,360","469,118","8,318","4,887",231,"2,409,830","11,340","212,512,836",South America,,,,,
3,Russia,"576,952","+7,889","8,002",+161,"334,592","234,358","2,300","3,954",55,"16,600,000","113,751","145,932,745",Europe,,,,,
4,India,"396,661",+849,"12,971",+1,"214,346","169,344","8,944",288,9,"6,616,496","4,796","1,379,567,062",Asia,,,,,
5,UK,"301,815",,"42,461",,N/A,N/A,379,"4,447",626,"7,433,114","109,511","67,875,356",Europe,,,,,
6,Spain,"292,655",,"28,315",,N/A,N/A,617,"6,259",606,"4,826,516","103,232","46,754,281",Europe,,,,,
,Africa,"289,214",+402,"7,716",+3,"135,283","146,215",499,,,,,,Africa,,,,,
7,Peru,"247,925",,"7,660",,"135,520","104,745","1,130","7,523",232,"1,461,266","44,340","32,956,067",South America,,,,,
8,Italy,"238,011",,"34,561",,"181,907","21,543",161,"3,936",572,"4,889,103","80,859","60,464,181",Europe,,,,,
9,Chile,"231,393",,"4,093",,"191,491","35,809","1,911","12,108",214,"923,513","48,324","19,111,018",South America,,,,,
10,Iran,"200,262",,"9,392",,"159,192","31,678","2,833","2,385",112,"1,370,718","16,327","83,956,634",Asia,,,,,
11,Germany,"190,660",,"8,960",,"174,400","7,300",376,"2,276",107,"5,029,696","60,037","83,776,217",Europe,,,,,
12,Turkey,"185,245",,"4,905",,"157,516","22,824",769,"2,197",58,"2,863,632","33,966","84,309,377",Asia,,,,,
13,Pakistan,"171,666","+6,604","3,382",+153,"63,504","104,780",111,778,15,"1,042,787","4,724","220,732,413",Asia,,,,,
14,Mexico,"170,485","+5,030","20,394",+647,"127,332","22,759",378,"1,323",158,"465,867","3,614","128,888,616",North America,,,,,
15,France,"159,452",,"29,617",,"74,117","55,718",727,"2,443",454,"1,384,633","21,214","65,269,418",Europe,,,,,
16,Saudi Arabia,"150,292",,"1,184",,"95,764","53,344","1,941","4,319",34,"1,224,289","35,186","34,794,765",Asia,,,,,
17,Bangladesh,"108,775","+3,240","1,425",+37,"43,993","63,357",1,661,9,"599,579","3,642","164,636,385",Asia,,,,,
18,Canada,"100,629",,"8,346",,"63,003","29,280","1,990","2,667",221,"2,339,563","62,005","37,731,670",North America,,,,,
19,South Africa,"87,715",,"1,831",,"47,825","38,059",208,"1,480",31,"1,260,434","21,261","59,283,506",Africa,,,,,
20,Qatar,"85,462",,93,,"65,409","19,960",221,"30,437",33,"313,501","111,653","2,807,805",Asia,,,,,
21,China,"83,352",+27,"4,634",,"78,410",308,11,58,3,,,"1,439,323,776",Asia,,,,,
22,Colombia,"63,276",,"2,045",,"23,988","37,243",335,"1,244",40,"568,324","11,173","50,865,177",South America,,,,,
23,Belgium,"60,550",+74,"9,696",+1,"16,771","34,083",50,"5,225",837,"1,098,910","94,831","11,588,139",Europe,,,,,
24,Belarus,"57,333",,337,,"35,275","21,721",92,"6,067",36,"821,887","86,978","9,449,407",Europe,,,,,
25,Sweden,"56,043",,"5,053",,N/A,N/A,272,"5,550",500,"385,659","38,194","10,097,352",Europe,,,,,
26,Egypt,"52,211",,"2,017",,"13,928","36,266",41,511,20,"135,000","1,320","102,263,012",Africa,,,,,
27,Ecuador,"49,731",,"4,156",,"24,446","21,129",234,"2,820",236,"137,930","7,822","17,633,668",South America,,,,,
28,Netherlands,"49,426",,"6,081",,N/A,N/A,57,"2,885",355,"517,317","30,193","17,133,798",Europe,,,,,
29,Indonesia,"45,029","+1,226","2,429",+56,"17,883","24,717",,165,9,"621,156","2,272","273,429,272",Asia,,,,,
30,UAE,"44,145",,300,,"30,996","12,849",1,"4,465",30,"3,038,000","307,291","9,886,410",Asia,,,,,
31,Singapore,"41,833",+218,26,,"33,459","8,348",2,"7,152",4,"576,189","98,512","5,848,906",Asia,,,,,
32,Argentina,"39,570",,979,,"11,851","26,740",353,876,22,"264,604","5,856","45,182,547",South America,,,,,
33,Kuwait,"38,678",,313,,"30,190","8,175",193,"9,062",73,"349,412","81,861","4,268,372",Asia,,,,,
34,Portugal,"38,464",,"1,527",,"24,477","12,460",67,"3,772",150,"1,047,109","102,683","10,197,475",Europe,,,,,
35,Ukraine,"35,825",+841,994,+9,"16,406","18,425",345,819,23,"553,737","12,660","43,740,134",Europe,,,,,
36,Poland,"31,620",+304,"1,346",+12,"16,181","14,093",72,835,36,"1,320,399","34,887","37,847,717",Europe,,,,,
37,Switzerland,"31,235",,"1,956",,"28,900",379,17,"3,610",226,"493,843","57,074","8,652,664",Europe,,,,,
38,Oman,"28,566",+896,128,+3,"14,780","13,658",99,"5,600",25,"154,232","30,234","5,101,359",Asia,,,,,
39,Philippines,"28,459",,"1,130",,"7,378","19,951",417,260,10,"565,248","5,161","109,531,422",Asia,,,,,
40,Afghanistan,"28,424",+546,569,+21,"8,292","19,563",19,731,15,"63,951","1,644","38,894,188",Asia,,,,,
41,Iraq,"27,352",,925,,"12,205","14,222",212,681,23,"425,192","10,580","40,187,366",Asia,,,,,
42,Ireland,"25,368",,"1,714",,"22,698",956,16,"5,139",347,"396,584","80,346","4,935,970",Europe,,,,,
43,Dominican Republic,"25,068",,647,,"14,605","9,816",167,"2,312",60,"119,319","11,003","10,844,393",North America,,,,,
44,Panama,"24,274",,485,,"14,359","9,430",107,"5,629",112,"102,703","23,816","4,312,367",North America,,,,,
45,Romania,"23,730",+330,"1,500",+16,"16,735","5,495",190,"1,233",78,"619,997","32,223","19,240,762",Europe,,,,,
46,Bolivia,"22,476",+977,715,+18,"4,670","17,091",71,"1,926",61,"55,114","4,724","11,667,572",South America,,,,,
47,Bahrain,"20,916",,58,+1,"15,287","5,571",36,"12,312",34,"462,627","272,315","1,698,868",Asia,,,,,
48,Israel,"20,339",,304,,"15,586","4,449",39,"2,211",33,"804,743","87,495","9,197,590",Asia,,,,,
49,Armenia,"19,708",+551,332,+13,"8,854","10,522",10,"6,651",112,"93,786","31,651","2,963,087",Asia,,,,,
50,Nigeria,"19,147",,487,,"6,581","12,079",7,93,2,"108,548",527,"205,934,216",Africa,,,,,
51,Japan,"17,740",,935,,"16,008",797,62,140,7,"403,380","3,189","126,486,413",Asia,,,,,
52,Austria,"17,323",+52,688,,"16,175",460,8,"1,924",76,"558,208","61,990","9,004,851",Europe,,,,,
53,Kazakhstan,"16,779",+428,113,,"10,411","6,255",121,894,6,"1,239,138","66,020","18,769,219",Asia,,,,,
54,Moldova,"13,556",,458,+8,"7,745","5,353",440,"3,360",114,"63,328","15,698","4,034,207",Europe,,,,,
55,Ghana,"13,203",,70,,"4,548","8,585",6,425,2,"261,319","8,417","31,048,247",Africa,,,,,
56,Serbia,"12,709",,259,,"11,511",939,18,"1,454",30,"332,342","38,033","8,738,259",Europe,,,,,
57,Guatemala,"12,509",+641,483,+34,"2,419","9,607",5,699,27,"31,427","1,755","17,903,374",North America,,,,,
58,Denmark,"12,391",,600,,"11,282",509,6,"2,139",104,"876,344","151,313","5,791,610",Europe,,,,,
59,S. Korea,"12,373",+67,280,,"10,856","1,237",15,241,5,"1,170,901","22,839","51,267,965",Asia,,,,,
60,Azerbaijan,"11,767",,143,,"6,325","5,299",66,"1,161",14,"403,499","39,807","10,136,270",Asia,,,,,
61,Algeria,"11,504",,825,,"8,196","2,483",54,263,19,,,"43,822,095",Africa,,,,,
62,Honduras,"11,258",+519,349,+6,"1,214","9,695",13,"1,137",35,"21,540","2,176","9,899,028",North America,,,,,
63,Cameroon,"10,638",,282,,"7,548","2,808",28,401,11,,,"26,519,263",Africa,,,,,
64,Czechia,"10,406",,335,,"7,473","2,598",9,972,31,"517,283","48,306","10,708,422",Europe,,,,,
65,Morocco,"9,801",+188,213,,"8,133","1,455",7,266,6,"515,107","13,961","36,895,998",Africa,,,,,
,Oceania,"9,052",+29,124,,"8,470",458,2,,,,,,Australia/Oceania,,,,,
66,Norway,"8,726",,244,,"8,138",344,5,"1,610",45,"302,659","55,842","5,419,919",Europe,,,,,
67,Malaysia,"8,556",+21,121,,"8,146",289,3,264,4,"679,826","21,013","32,351,989",Asia,,,,,
68,Sudan,"8,316",,506,,"3,086","4,724",,190,12,401,9,"43,808,910",Africa,,,,,
69,Nepal,"8,274",,22,,"1,402","6,850",,284,0.8,"409,623","14,068","29,117,669",Asia,,,,,
